id,Hochdeutsch,IPA_Dialekt,method_greedy,method_positional,method_ibm,greedy_hits,greedy_pmi,greedy_rate,positional_count,ibm_prob,ibm_expected_count,ibm_sentence_support,method_count,methods,example_type,example_sentence,example_ipa_audio,example_ipa_reference,example_tense,correct,comment
55,thema,teːmɑː,1,1,1,5.0,7.5031,0.2941,2.0,0.518205,4.7899,5.0,3,"greedy, positional, ibm",hd+ipa,Auch innerhalb der SVP wurde über dieses Thema eingehend diskutiert.,aʊɪnə haɪdffə ɛsəpɪt iʃ ybɛdɛs teːmɑː iːgɛn gɛndldɪs kʊdiːət vɔːdə,aʊx ɪnɜhalp dɛɾ ɛsfaʊpeː vʊɐdə yːbɜ diːzəs teːmɑː aɪnɡeːənt dɪskuːtiːɾt,Präteritum,1,
56,vier,fiːɾ,1,1,1,5.0,5.9937,0.4545,2.0,0.662725,5.8874,5.0,3,"greedy, positional, ibm",hd+ipa,Von den letzten vier Grand-Slam-Finals hat Federer nun drei verloren.,fɔr dɛɾ ɪtʃtə fiːɾ bɾɛnslɛnfaɪnəlz hɛt feːdɾɔː nʊmə dɾyːfəlɔɾə,fɔn deːn lɛtstən fiːɾ ɡɾantslɑːmfiːnɑːls hat feːdərɜ nuːn dɾaɪ fɛɾloːrən,Präteritum,1,
57,zur,tsuː,1,1,1,5.0,4.3015,0.1471,2.0,0.653169,4.9919,5.0,3,"greedy, positional, ibm",hd+ipa,Die Vernehmlassung zur Umsetzung des KiBeG wird voraussichtlich im Mai durchgeführt.,tɛnɛmla sɪç tsuː ʊmsɛtsɪk fɔn kɑːr ɪbeːgeːvɪɑː fɔrʊsɛçlɪç ɪm maːɪ dʊrətsɛɾt,diː fɛɾneːmlasʊŋ tsuːɾ ʊmzɛtsʊŋ dɛs kiː beː ɡeː vɪɾt foːraʊszɪçtlɪç ɪm maɪ dʊɐçɡəfyːɾt,Futur,1,
58,seit,ziː,1,1,1,4.0,4.0828,0.1429,4.0,0.436245,4.8178,5.0,3,"greedy, positional, ibm",hd+ipa,Thailand hat sich verändert seit dem letzten Besuch vor sechs Jahren.,taɪlənt hɪt zɪç ziː dʊm leːtʃtə psuːrfɔ zɛːg ziːɾ ɑːfərɛndərət,taɪlant hat zɪç fɛɾɛndɜt zaɪt deːm lɛtstən bəzuːx fɔɾ zɛks jɑːrən,Präsens,1,
59,gibt,giːt,1,1,1,4.0,6.2243,0.1212,4.0,0.249717,3.4077,4.0,3,"greedy, positional, ibm",hd+ipa,Es gibt jedoch keinen Grund mit der Umsetzung dringender Massnahmen zuzuwarten.,ɛs giːt jeːdaʊx kaɪn gʊnt miː deːm ʊmsɛtsɪç fɔrdɾɪŋənə mɑːsnɑːmə tsʊːrɛts vɑːɾtə,ɛs ɡiːpt jeːdɔx kaɪnən ɡɾʊnt mɪt dɛɾ ʊmzɛtsʊŋ dɾɪŋəndɜ masnɑːmən tsuːtsuːvaɾtən,Präsens,1,
60,liegt,liːt,1,1,1,4.0,7.0056,0.25,4.0,0.349824,3.8617,4.0,3,"greedy, positional, ibm",hd+ipa,Das Jahresprogramm liegt auf.,siɔvɛs pɔkɾɑːm liːt uːf,das jɑːrɛʃpɾɔɡɾam liːkt aʊf,Präsens,1,
61,möchte,mɛçt,1,1,1,4.0,6.6837,0.1667,4.0,0.308177,3.9422,4.0,3,"greedy, positional, ibm",hd+ipa,Gerne möchte ich aber zu Grundsätzlichem kommen.,gɛɾdən mɛçt diː aːbɛrtsuː gɾʊnt tsɛtslɪç ɪmkɔːx,ɡɛɾnə mœçtə ɪç ɑːbɜ tsuː ɡɾʊndzɛtslɪçəm kɔmən,Präsens,1,
62,zudem,tsuːdɛm,1,1,1,4.0,7.8092,0.3636,4.0,0.465518,3.8937,4.0,3,"greedy, positional, ibm",hd+ipa,Natürlich kommen zudem auch Araber und Russen.,nɑtyːɾiː kɛmɪ tsuːdɛm aʊ ɑːrɑːbɑː ʊntɾʊsɛ,nɑːtyːɾlɪç kɔmən tsuːdeːm aʊx ɑrɑːbɜ ʊnt rʊsən,Präsens,1,
63,dort,dœt,1,1,1,4.0,6.9467,0.16,3.0,0.448395,3.9654,4.0,3,"greedy, positional, ibm",hd+ipa,Dort kann die Bank unter Umständen gegen ihre eigenen Kunden spekulieren.,dœt kɑn pɑnk ʊnt ʊmstɛndɪgɛkɛɾ aɪgɪnək kʊndə spɪkoːliːrə,dɔɾt kan diː baŋk ʊntɜ ʊmʃtɛndən ɡeːɡən iːrə aɪɡənən kʊndən ʃpeːkuːliːrən,Präsens,1,
64,genau,knaʊ,1,1,1,4.0,7.6837,0.2667,3.0,0.474026,3.9948,4.0,3,"greedy, positional, ibm",hd+ipa,Wie ging das Personal genau vor?,viːɾ iːʃtɾiːɾɑːl zoːnaːl knaʊ vɔːr kaŋdə,viː ɡɪŋ das pɛɾzoːnɑːl ɡənaʊ fɔɾ,Präteritum,1,
65,gut,guːɾt,1,1,1,4.0,6.0056,0.125,3.0,0.392883,3.9576,4.0,3,"greedy, positional, ibm",hd+ipa,Er kennt die Grundbegriffe und grundlegenden Funktionen der Finanzwelt gut.,ɛɾ kɪɛnt gʊnt pəgɪf ʊnt gɾʊntlɛgəl ɪnfʊŋkxtsoː ʊntɛɾ finantsvaɪt guːɾt,ɛɾ kɛnt diː ɡɾʊndbɛɡɾɪfə ʊnt ɡɾʊndleːɡəndən fʊŋktsjoːnən dɛɾ fiːnantsvəlt ɡuːt,Präsens,1,
66,seine,ziːn,1,1,1,4.0,4.067,0.1739,3.0,0.575056,3.4835,4.0,3,"greedy, positional, ibm",hd+ipa,Afrikas Frühling lässt seine erste Schwalbe fliegen.,afriː krasfɔøːlɪç lɛst ziːn jɛɾʃʃtalbɛflyːgɛ,afriːkɑːs fryːlɪŋ lɛst zaɪnə eːɾstə ʃvalbə fliːɡən,Präsens,1,
67,wäre,vɛɾ,1,1,1,4.0,5.0987,0.2222,3.0,0.4339,3.9842,4.0,3,"greedy, positional, ibm",hd+ipa,Allein diese Tatsache wäre schon ein Schritt in die richtige Richtung.,ɛlaɪdiːtɛtsaːx vɛɾ ɑʊnʃvoːɛn ʃrɪptiː diː rɪçtɪgɾɪçtɪgɛk,alaɪn diːzə tatzaxə vɛːrə ʃoːn aɪn ʃrɪt ɪn diː rɪçtɪɡə rɪçtʊŋ,Präsens,1,
68,frauen,fraʊə,1,1,1,4.0,7.6837,0.2667,2.0,0.534684,3.9935,4.0,3,"greedy, positional, ibm",hd+ipa,"Die Frauen verloren im Schnitt 1,5 Kilogramm.",ɪn fraʊə hɛn diː bɛʃniːt aɪs kɛnma fyːf kɪloː fɛɾlɔvərə,diː fraʊən fɛɾloːrən ɪm ʃnɪt aɪns fʏnf kiːlɔɡɾam,Präteritum,1,
69,grossen,gɾoːsə,1,1,1,4.0,7.3052,0.3077,2.0,0.5813,3.9054,4.0,3,"greedy, positional, ibm",hd+ipa,Wir können heute keine grossen ambitionierten Sparmassnahmen in so kurzer Zeit präsentieren.,meːrçənt hyːdkɪç kɔɾaɪk gɾoːsə ɑːn bitsəniːr diː ʃpasnɑːmə iːzɑːxɔːtsɑː tsɪːk beːzənt diːrə,viːɾ kœnən hɔøtə kaɪnə ɡɾɔsən ambiːtsjoːniːɾtən ʃpaɾmasnɑːmən ɪn zoː kʊɐtsɜ tsaɪt pɾɛːzəntiːrən,Präsens,1,
70,stelle,ʃtɛl,1,1,1,4.0,7.6837,0.4,2.0,0.595785,3.9684,4.0,3,"greedy, positional, ibm",hd+ipa,Die Fiko hat anschliessend diese zu besetzende Stelle näher betrachtet.,ɪɾ viːkɔ hɛɾ aɾʃlyːsənt diː suː bɛzɛtsən diː ʃtɛl nœʁɔbəpraxtət,diː fiːkoː hat anʃliːsənt diːzə tsuː bəzɛtsəndə ʃtɛlə nɛːɜ bətɾaxtət,Präsens,1,
71,unter,ʊntɜ,1,1,1,4.0,7.1312,0.1818,2.0,0.568729,3.9729,4.0,3,"greedy, positional, ibm",hd+ipa,Die Feuerwehr habe den Brand schnell unter Kontrolle gebracht.,fyːɾvɪɾ heːbɪdə bɾaɪmd ʃnɛl ʊntɜ gɾʊntɾɔlə pɔxt,diː fɔøɜveːɾ hɑːbə deːn bɾant ʃnɛl ʊntɜ kɔntɾɔlə ɡəbɾaxt,Perfekt,1,
72,mit,mɪt,1,0,1,45.0,3.9367,0.283,,0.870133,45.5337,45.0,2,"greedy, ibm",hd+ipa,"Für diesen Verband, einen grossen Gewinn, mit positiven Folgen auch für dich.",fœltɛɾ fɛɾpant ɪnzəs ɪn gɾɑːsək vʏn mɪt pɔsɪtɪfə foːlgə aʊfə diː,fyːɾ diːzən fɛɾbant aɪnən ɡɾɔsən ɡəvɪn mɪt poːziːtiːvən fɔlɡən aʊx fyːɾ dɪç,Präsens,1,
73,auf,ɔf,1,0,1,19.0,4.114,0.1348,,0.577641,18.6025,19.0,2,"greedy, ibm",hd+ipa,"Im kommenden Jahr soll sie weiter auf 6,4 Prozent sinken.",ɪm nɛgʃtə jɑː zʊt ziːn nɔmɪ ɔf zɛxt kɔm ɪn fiːɾ pɔtsɛnt zɪnkə,ɪm kɔməndən jɑːɾ zɔl ziː vaɪtɜ aʊf zɛks fiːɾ pɾoːtsɛnt zɪŋkən,Präsens,1,
74,aus,ʊs,1,0,1,13.0,4.8112,0.1548,,0.501689,12.4701,13.0,2,"greedy, ibm",hd+ipa,"Diese Fördergelder, auch für die Unterführung, stammen aus dem Agloprogramm 2. Generation.",diːl fyːɾtɛgaɪzɛɾ aʊfiːɾt ʊntɪfiːɾiːk stamɛt ʊs dɛm tsaɪt dɛɾ aʊgləpɔgɾɑmtsvaɪtɪgeːnɛɾatsiːɔn,diːzə fœɾdɜɡɛldɜ aʊx fyːɾ diː ʊntɜfyːrʊŋ ʃtamən aʊs deːm aɡlɔpɾɔɡɾam tsvaɪ ɡɛneːratsjoːn,Präsens,1,
75,dabei,biː,1,0,1,11.0,5.4613,0.3143,,0.583063,10.9948,11.0,2,"greedy, ibm",hd+ipa,Dabei sind wir zu keinem vernünftigen Schluss gekommen.,dɛɾ biː zimə tsuː kaɪn fɔnœftɪgə ʃluːs koː,dɑːbaɪ zɪnt viːɾ tsuː kaɪnəm fɛɾnʏnftɪɡən ʃlʊs ɡəkɔmən,Perfekt,0,Dabei wäre dɛɾ biː
76,war,ɪç,1,0,1,11.0,2.3075,0.1236,,0.392633,10.3706,11.0,2,"greedy, ibm",hd+ipa,Dies war günstig und mit geringen Risiken behaftet.,ɛs ɪç gʏnst ɪksɪgə siː ʊnt mɪt gɛlgən riːzɪkɾoːbɛlf dɛt,diːs vɑːɾ ɡʏnstɪç ʊnt mɪt ɡərɪŋən riːziːkən bəhaftət,Plusquamperfekt,?,war -> ɪç siː also isch gsieh
77,ab,ap,1,0,1,10.0,6.7326,0.3448,,0.923003,9.9991,10.0,2,"greedy, ibm",hd+ipa,Sie hielten mich von der Rückkehr nach Argentinien ab.,ɪn halt ɪmiː fɾʏk ʁɛɾ nɔx aɾgɛdiːniː ap,ziː hiːltən mɪç fɔn dɛɾ rʏkeːɾ nɑːx aɾɡəntiːnɪən ap,Präteritum,1,
78,wurden,zɪnt,1,0,1,8.0,4.6837,0.2,,0.588771,7.7198,8.0,2,"greedy, ibm",hd+ipa,Allerdings wurden die Sicherheitsvorkehrungen verstärkt.,ɑlə dɪŋ zɪnt zɪçɑːts vɔːkɪːgə fɛɾstɛɾkkt vɔːdən,alɜdɪŋs vʊɐdən diː zɪçɜhaɪtsfoːɾkeːrʊŋən fɛɾʃtɛɾkt,Präteritum,0,wurden -> zɪnt vɔːdən also sind worde
79,budget,byːtʃə,1,0,1,7.0,7.5906,0.5,,0.646339,6.9774,7.0,2,"greedy, ibm",hd+ipa,Dadurch sind diese Kosten im Budget und in der Rechnung ausgewiesen.,dɔɾ tuːrə ziːn kœʃtə ɪn byːtʃə ʊnt diː dɛɾaɪçnɪk oːskvɪsə,dɑːdʊɐç zɪnt diːzə kɔstən ɪm bʊdɡət ʊnt ɪn dɛɾ rɛçnʊŋ aʊsɡəviːzən,Präsens,1,
80,beim,bɪm,1,0,1,6.0,6.6678,0.2308,,0.700745,5.9996,6.0,2,"greedy, ibm",hd+ipa,Dies ist beim Balänenweg der Fall.,ɑs ɪʃpɪm bɪm bɑl aɪnən vɛːktə fɑl,diːs ɪst baɪm balɛːnənveːk dɛɾ fal,Präsens,1,
81,gemacht,gmaxt,1,0,1,6.0,7.0463,0.4286,,0.439817,4.254,6.0,2,"greedy, ibm",hd+ipa,"Die Gemeinde besass das Vorkaufsrecht, welches geltend gemacht wurde.",gmaɪnt hɛɪts fɔːx aʊfzvɛçt pzɛsən vʊɐ zaʊ gɛldən gmaxt hɪnt,diː ɡəmaɪndə bəzas das foːɾkaʊfsrɛçt vɛlçəs ɡɛltənt ɡəmaxt vʊɐdə,Präteritum,1,
82,prozent,pɔtsɛnt,1,0,1,6.0,6.3238,0.1818,,0.532917,5.9993,6.0,2,"greedy, ibm",hd+ipa,"Im kommenden Jahr soll sie weiter auf 6,4 Prozent sinken.",ɪm nɛgʃtə jɑː zʊt ziːn nɔmɪ ɔf zɛxt kɔm ɪn fiːɾ pɔtsɛnt zɪnkə,ɪm kɔməndən jɑːɾ zɔl ziː vaɪtɜ aʊf zɛks fiːɾ pɾoːtsɛnt zɪŋkən,Präsens,1,
83,aarau,ɑːraʊ,1,0,1,5.0,7.6837,0.3333,,0.598502,4.9961,5.0,2,"greedy, ibm",hd+ipa,"Und das wollen wir in Aarau nicht, auch nicht in der Zwischensaison.",ʊnt ʊntɑs vømeːrɪn ɑːraʊ nøːt ɑːnøːtɪtɪ tə tsvɪʃɛzəzɑːn,ʊnt das vɔlən viːɾ ɪn ɑːraʊ nɪçt aʊx nɪçt ɪn dɛɾ tsvɪʃənzaɪzoːn,Präsens,1,
84,damit,mɪt,1,0,1,5.0,5.6271,0.1923,,0.359394,4.8439,5.0,2,"greedy, ibm",hd+ipa,Damit wurde wieder das hohe Niveau vom April erreicht.,dɑːdə mɪt ɪn ʃviːdɛs hoːxɛrniːvoː fɔm aːbɾiːləraɪçt vɔːdə,dɑːmɪt vʊɐdə viːdɜ das hoːə niːvoː fɔm apɾiːl ɛɾraɪçt,Präteritum,0,Damit -> dɑːdə mɪt
85,davon,foː,1,0,1,5.0,4.8681,0.2273,,0.401108,4.8782,5.0,2,"greedy, ibm",hd+ipa,Hier ist ein ganzer Band davon.,dɔɾ ɪʃən gantsə baʊnt də foː,hiːɾ ɪst aɪn ɡantsɜ bant dɑːfɔn,Präsens,0,də foː
86,dieses,deːm,1,0,1,5.0,3.7388,0.1515,,0.342895,3.8166,5.0,2,"greedy, ibm",hd+ipa,Die Fraktion der FDP lehnt darum die Überweisung dieses Postulats einstimmig ab.,zaxtsɪoːn fɾɛftə peːɾ lɛntɾʊm diː ʊbəviːsɪk fɔɾ deːm pɔɾ ʃtɛlɑːt aɪst ɪmɪgɑːp,diː fraktsjoːn dɛɾ ɛfdeːpeː leːnt dɑːrʊm diː yːbɜvaɪzʊŋ diːzəs pɔstuːlɑːts aɪnʃtɪmɪç ap,Präsens,1,
87,einem,ɪm,1,0,1,5.0,3.2401,0.1042,,0.466659,4.874,5.0,2,"greedy, ibm",hd+ipa,In einem Konflikt wären all ihre wunden Punkte sichtbar geworden.,ɪm nɛk kɔmflɪkt vɛɾət ɑːl ɪçə vʊndə pʊŋkt sɪçpaːl kvɔːdə,ɪn aɪnəm kɔnflɪkt vɛːrən al iːrə vʊndən pʊŋktə zɪçtbɑːɾ ɡəvɔɾdən,Präsens,0,
88,frau,fraʊ,1,0,1,5.0,8.5906,0.625,,0.545728,4.9815,5.0,2,"greedy, ibm",hd+ipa,Meine Frau hätte im Café sein können.,mɪni fraʊ hɪt kønən ɪm kafɪsiː,maɪnə fraʊ hɛtə ɪm kafeː zaɪn kœnən,Präsens,1,
89,jetzt,jɛtst,1,0,1,5.0,5.3427,0.1316,,0.282407,4.6966,5.0,2,"greedy, ibm",hd+ipa,Jetzt zum Projekt.,jɛtst ɔm pɾɔjɛkɾt,jɛtst tsʊm pɾoːjɛkt,Präsens,1,
90,machen,maxə,1,0,1,5.0,6.2687,0.25,,0.415149,4.5754,5.0,2,"greedy, ibm",hd+ipa,Und ich möchte auch kein Geheimnis daraus machen.,ʊn diː mɛçt aʊkhaɪs kɑlmɪs tɔs maxə,ʊnt ɪç mœçtə aʊx kaɪn ɡəhaɪmnɪs dɑːraʊs maxən,Präsens,1,
91,nie,niːɾ,1,0,1,5.0,7.1052,0.3571,,0.527374,4.9428,5.0,2,"greedy, ibm",hd+ipa,Aber er gab nie zweimal dasselbe Konzert.,ɛt hɛlt niːɾ tsvaɪmɪl sɛlbɪk kʊntsɛrt gɛl,ɑːbɜ ɛɾ ɡɑːp niː tsvaɪmɑːl daszɛlbə kɔntsɛɾt,Präteritum,1,
92,schnell,ʃnɛl,1,0,1,5.0,7.8681,0.4545,,0.661078,4.9954,5.0,2,"greedy, ibm",hd+ipa,Die Feuerwehr habe den Brand schnell unter Kontrolle gebracht.,fyːɾvɪɾ heːbɪdə bɾaɪmd ʃnɛl ʊntɜ gɾʊntɾɔlə pɔxt,diː fɔøɜveːɾ hɑːbə deːn bɾant ʃnɛl ʊntɜ kɔntɾɔlə ɡəbɾaxt,Perfekt,1,
93,schweiz,ʃviːts,1,0,1,5.0,7.2687,0.25,,0.354191,4.7813,5.0,2,"greedy, ibm",hd+ipa,Bei Pro Bahn Schweiz kennt man das Problem.,biː pɾoːbɑːn ʃviːts kɾɛmə ɛnz pɾoːbleːmən,baɪ pɾoː bɑːn ʃvaɪts kɛnt man das pɾoːbleːm,Präsens,1,
94,waren,zɪnt,1,0,1,5.0,5.1576,0.1852,,0.435358,4.6244,5.0,2,"greedy, ibm",hd+ipa,14 ähnliche Klagen waren bereits im September eingereicht worden.,fiːɾatsə ɛntlɪçə klɛgə zɪnt bəraɪt ziːm zɛptəndɛm bɔːiːkraɪçt vʊɐdən,fɪɾtseːn ɛːnlɪçə klɑːɡən vɑːrən bəraɪts ɪm zɛptɛmbɜ aɪnɡəraɪçt vɔɾdən,Präteritum,1,korrekt: Dialekt nutzt sind ... worden statt waren
95,weg,vɛk,1,0,1,5.0,7.8681,0.4545,,0.857297,4.9997,5.0,2,"greedy, ibm",hd+ipa,Das fällt im Internet weg.,dɛɾ faltiː mɪntɔm ɛtə vɛk,das fɛlt ɪm ɪntɜnɛt vɛk,Präsens,1,
96,wieder,viːdɛɾ,1,0,1,5.0,5.8572,0.1316,,0.392918,4.2884,5.0,2,"greedy, ibm",hd+ipa,Er habe in der Vergangenheit immer wieder andere Religionen beleidigt.,ɛɾ hɛltə fɛɾgɑŋəhaɪt iːmɔ viːdɛɾ andərə dɛɾ gɔnə pɛlɾətiːkt,ɛɾ hɑːbə ɪn dɛɾ fɛɾɡaŋənhaɪt ɪmɜ viːdɜ andərə reːlɪɡioːnən bəlaɪdɪçt,Präsens,1,
97,alle,alɪ,1,0,1,4.0,6.9467,0.16,,0.463015,3.8693,4.0,2,"greedy, ibm",hd+ipa,Doch der Zwischenfall endete nicht für alle glimpflich.,dɔxt tsuːʃɛfɑːl hɛnt nɪçfɪɾ alɪ glɪmtflɪç gɛndɛt,dɔx dɛɾ tsvɪʃənfal ɛndətə nɪçt fyːɾ alə ɡlɪmpflɪç,Präsens,1,
98,also,zoː,1,0,1,4.0,5.9612,0.2222,,0.394574,4.1737,4.0,2,"greedy, ibm",hd+ipa,Kann sie sich also schon unterhalten?,kɑsiːzɪç ɑːlt zoː ʃoː ʊndɛhaltə,kan ziː zɪç alzoː ʃoːn ʊntɜhaltən,Präsens,?,also -> ɑːlt zoː
99,bleiben,bliːbə,1,0,1,4.0,7.3052,0.3077,,0.61581,3.9811,4.0,2,"greedy, ibm",hd+ipa,Die parlamentarische Anfrage des BZÖ werde entsprechend unbeantwortet bleiben.,ɑːləməntɑːrɪʃiː ɑːfhɑːg fɔm beːtsət bɪl vɪɾd ɪnspɛçɪt ʊnt bɛɾandwɑːtə bliːbə,diː paɾlaməntɑrɪʃə anfrɑːɡə dɛs beːtsɛtøː vɛɾdə ɛntʃpɾɛçənt ʊnbəantvɔɾtət blaɪbən,Futur,1,
100,diesem,dɛm,1,0,1,4.0,3.5138,0.1111,,0.328154,3.3205,4.0,2,"greedy, ibm",hd+ipa,"Den Fraktionsberichten kann man entnehmen, dass diesem Budget alle Partien zustimmen können.",ɪn frɑktɪoːnt bɾɪçt kɑmɑːɾ ɪnt neː dɛm byːtʃɪ ɑːliː pɑːtaɪɛ tsuːɛʃtiːmə ɦœnd,deːn fraktsjoːnsbərɪçtən kan man ɛntneːmən das diːzəm bʊdɡət alə paɾtiːən tsuːʃtɪmən kœnən,Präsens,?,
101,durch,dɔx,1,0,1,4.0,6.2687,0.2,,0.435038,3.1935,4.0,2,"greedy, ibm",hd+ipa,Entlang der Winkelriedstrasse wurden die Parkplätze neu angeordnet und durch Bäume aufgewertet.,ɪntlaŋ deːvɪŋkərɛːt ʃraʃt zɪnt bɑːk daɪs nɔø jɑːgɔɾnət ʊnt dɔx bɔøm ʊffeːɾt tvɔɾtə,ɛntlaŋ dɛɾ vɪnkəlriːtstɾasə vʊɐdən diː paɾkplɛtsə nɔø anɡəɔɾdnət ʊnt dʊɐç bɔømə aʊfɡəvɛɾtət,Präteritum,1,
102,einmal,aɪmɑːl,1,0,1,4.0,7.7832,0.2857,,0.586373,3.9478,4.0,2,"greedy, ibm",hd+ipa,Einmal ging die Heizung nicht.,aɪmɑːl ɪst haɪtsɪg nɪç gɑŋ,aɪnmɑːl ɡɪŋ diː haɪtsʊŋ nɪçt,Präteritum,1,
103,fall,fal,1,0,1,4.0,7.4613,0.2857,,0.411059,3.6315,4.0,2,"greedy, ibm",hd+ipa,"Das ist nicht der Fall, wir werden mit der Abstimmungsanlage abstimmen.",das iː ʃnɛltə fal meːɾ vɛɾdə mɪç tɛɾ aɪpʃtɪmʊŋs halɑːk aɪpʃtɪmə,das ɪst nɪçt dɛɾ fal viːɾ vɛɾdən mɪt dɛɾ apʃtɪmʊŋsanlɑːɡə apʃtɪmən,Futur,1,
104,frage,frɑːk,1,0,1,4.0,7.5031,0.2353,,0.384226,3.9695,4.0,2,"greedy, ibm",hd+ipa,Bleibt die Frage nach einer privaten Trägerschaft der Museen.,dɛnt stɛlt zɪç nɔp frɑːk fɔn ɾɛpɾiːvɑːtɛt tɾɛgɛɾʃaːft fɔ deː muːsiːɛ,blaɪpt diː frɑːɡə nɑːx aɪnɜ pɾiːvɑːtən tɾɛːɡɜʃaft dɛɾ muːzeːən,Präsens,1,
105,jahre,jɔː,1,0,1,4.0,5.7451,0.1739,,0.590241,3.9642,4.0,2,"greedy, ibm",hd+ipa,Es gäbe sicher lohnenswerte Ziele für die nächsten Jahre.,ɛs gɛp sɪç loːnən tsvɛɾt diː tsiːl fyːɾ diː nɔɾstɛ jɔː,ɛs ɡɛːbə zɪçɜ loːnənsveːɾtə tsiːlə fyːɾ diː nɛçstən jɑːrə,Präsens,1,
106,letzten,lɛtʃtə,1,0,1,4.0,7.3427,0.2105,,0.48393,4.0,4.0,2,"greedy, ibm",hd+ipa,Die letzten fünf bis sechs Jahre waren geprägt von intensiven Budgetdebatten.,diː lɛtʃtə fyːf bɪsɛç ziːɑːr zɪm tɾɛksiː foːɪntəntsiːf fɛɾbiːtʃɛtə bɑːtə,diː lɛtstən fʏnf bɪs zɛks jɑːrə vɑːrən ɡəpɾɛːkt fɔn ɪntɛnziːvən bʊdɡɛtdeːbatən,Plusquamperfekt,1,
107,mal,mɔl,1,0,1,4.0,7.1812,0.2353,,0.600261,3.9998,4.0,2,"greedy, ibm",hd+ipa,Jedes Mal lief sie bisher damit auf.,jɛtəs mɔl laʊftsiʊt biːt ɛɾdə miːk duːf,jeːdəs mɑːl liːf ziː bɪsheːɾ dɑːmɪt aʊf,Präteritum,1,
108,menschen,mɛntʃɛ,1,0,1,4.0,7.1312,0.1818,,0.399913,3.8517,4.0,2,"greedy, ibm",hd+ipa,Die Menschen respektieren den Sport.,ɪn mɛntʃɛ ɾɛspɛktiːrət deː spɑːlt,diː mɛnʃən rɛspɛktiːrən deːn ʃpɔɾt,Präsens,1,
109,nichts,nyːd,1,0,1,4.0,7.3052,0.3077,,0.493994,3.9972,4.0,2,"greedy, ibm",hd+ipa,Nichts geändert haben die Japaner allerdings am Motor.,nyːd kɛndrɛt hɛnt jɑpɑːn ɑːlədɪŋ sɑːmɑːtoː,nɪçts ɡəɛndɜt hɑːbən diː japɑːnɜ alɜdɪŋs am moːtoːɾ,Perfekt,1,
110,nun,jɛtst,1,0,1,4.0,6.0592,0.1081,,0.292562,3.6713,4.0,2,"greedy, ibm",hd+ipa,Was wird nun aus euch?,vɑː v jɑp jɛtst u sɔːi,vas vɪɾt nuːn aʊs ɔøç,Futur,1,
