id,Hochdeutsch,IPA_Dialekt,method_greedy,method_positional,method_ibm,greedy_hits,greedy_pmi,greedy_rate,positional_count,ibm_prob,ibm_expected_count,ibm_sentence_support,method_count,methods,example_type,example_sentence,example_ipa_audio,example_ipa_reference,example_tense,correct,comment
111,trotzdem,dɛm,1,0,1,4.0,5.0828,0.2857,,0.411062,3.7112,4.0,2,"greedy, ibm",hd+ipa,In der Schweiz gibt es für mich trotzdem auch einen König.,aɪ dɛɾ ʃviːtskiːts fyːɾ mɪç trɔts dɛm aʊən kœnɪç,ɪn dɛɾ ʃvaɪts ɡiːpt ɛs fyːɾ mɪç tɾɔtsdeːm aʊx aɪnən køːnɪç,Präsens,0,trotzdem -> trɔts dɛm
112,worden,vɔɾdə,1,0,1,4.0,4.5878,0.1481,,0.456777,3.9857,4.0,2,"greedy, ibm",hd+ipa,Lukas Häusermann und Christian Oehler sind dafür bestimmt worden.,ɪnə lʊkɾas hɔɪzɑːmən ʊnt dɛɾ kɛʃtɪɑːn ɔlɔ zɪŋtə fyːɾ bɛʃtɪmt vɔɾdə,luːkɑːs hɔøzɜman ʊnt kɾɪstiːɑːn œhlɜ zɪnt dɑːfyːɾ bəʃtɪmt vɔɾdən,Präsens,1,
113,die,diː,0,1,1,,,,64.0,0.945889,154.5742,152.0,2,"positional, ibm",hd+ipa,Dagegen spricht nicht nur die lange Tradition der US-Autoindustrie.,dɛɾ gɛgɛɾ ʃpɪçmə nuːɾ diː laŋt dɑdɪtsoːn foːɾ dɛɾ uːɾs alpɪtɾoː ɪnduːɾstɾiː,daɡeːɡən ʃpɾɪçt nɪçt nuːɾ diː laŋə tɾɑdiːtsjoːn dɛɾ uːɛsaʊtoːɪndʊstɾiː,Präsens,1,
114,der,dɛɾ,0,1,1,,,,53.0,0.746164,107.1529,115.0,2,"positional, ibm",hd+ipa,Das Geld sei von der CS bereits ausbezahlt worden.,daɪkəltsɪk fɔr dɛɾ tseːrəs bəraɪts hʊstsaɪltpɔɾdən,das ɡɛlt zaɪ fɔn dɛɾ tseːɛs bəraɪts aʊsbətsɑːlt vɔɾdən,Präsens,1,
115,das,das,0,1,1,,,,29.0,0.382182,38.6704,37.0,2,"positional, ibm",hd+ipa,"Wo wollen wir sparen, um das Fest zu organisieren?",voːbɛːmoːʃpaɾɾə tsʊm das faɪçɔɾkaniːsiːɾə,voː vɔlən viːɾ ʃpɑːrən ʊm das fɛst tsuː ɔɾɡaniːziːrən,Präsens,1,
116,ist,ɪç,0,1,1,,,,26.0,0.343894,35.503,40.0,2,"positional, ibm",hd+ipa,Das ist geltendes Recht!,das ɪç gɛlt ɛntsrɛft,das ɪst ɡɛltəndəs rɛçt,Präsens,1,
117,in,ɪn,0,1,1,,,,21.0,0.924548,62.1786,68.0,2,"positional, ibm",hd+ipa,Cannabis ist in Bezug auf Psychose nicht ganz ohne.,kɑnɑpɪs ɪn bɪtsuːkɔf pɪsɪxɔsɛ nøk gants ɔnɪ,kanabɪs ɪst ɪn bətsuːk aʊf pzʏçoːzə nɪçt ɡants oːnə,Präsens,1,
118,den,dɛɾ,0,1,1,,,,18.0,0.801622,43.1288,41.0,2,"positional, ibm",hd+ipa,Sie werden sich sicher gut an den komplizierten Budgetprozess 2017 erinnern können.,ziːvɛɾdə tziːç zɪç zɪç kuːɾət aɪn dɛɾ kɔmplitsiːɾt byːtʃɛ pɔtsɛs tsvaɪt daʊzɪk ʊnt ziːbətseːrɛːrɪːnɛr kʏnən,ziː vɛɾdən zɪç zɪçɜ ɡuːt an deːn kɔmpliːtsiːɾtən bʊdɡɛtpɾoːtsɛs tsvaɪ taʊzənt ziːptseːn ɛɾɪnɜn kœnən,Futur,1,
119,ein,ɛs,0,1,1,,,,13.0,0.524334,24.2767,25.0,2,"positional, ibm",hd+ipa,Zudem bin ich bei SRF als Experte noch ein wenig dabei.,tsuːdɛn biniː biːɛsərɛf als ɛkspɛɾtɛ nɔɾ ɛs piːtslɪdɛbiː,tsuːdeːm bɪn ɪç baɪ ɛsɛrɛf als ɛkspɛɾtə nɔx aɪn veːnɪç dɑːbaɪ,Präsens,1,
120,diese,diː,0,1,1,,,,12.0,0.67844,23.9586,24.0,2,"positional, ibm",hd+ipa,Diese Privatperson hat sie anscheinend sogar vermietet.,diː pɾiːfɑːtpɪɾsoːn hɛtsɪ anʃiːnən tsʊgɑːfə miːɾtət,diːzə pɾiːvɑːtpɛɾzoːn hat ziː anʃaɪnənt zoːɡɑːɾ fɛɾmiːtət,Präsens,1,
121,deshalb,dɛs,0,1,1,,,,6.0,0.519161,6.3399,7.0,2,"positional, ibm",hd+ipa,Das iranische Aussenministerium bestellte deshalb den saudi-arabischen Botschafter ein.,siːraːnɪçə ʊsəmiːnɪçtəɾiːʊm hɪt dɾʊŋ dɛs aʊdɪɾaːpɪʃpɔtʃaɾ fɔɾ tɛlt ɛbʃtɛlt,das iːrɑnɪʃə aʊszɛnmiːnɪsteːriːʊm bəʃtɛltə dɛshalp deːn zaʊdiːarɑbɪʃən bɔtʃaftɜ aɪn,Präsens,0,deshalb -> dɾʊŋ
122,dieser,dɛɾ,0,1,1,,,,5.0,0.528281,8.8944,9.0,2,"positional, ibm",hd+ipa,Gleichzeitig wird die Pikettorganisation während dieser Zeit entlastet.,gliːxtsiːtɪg viːɾt piːkə aʊɐganiːzatsiːɔːn vɛɾɾɛt tɛrə tsiːt dɛɾ klaɪʃtət,ɡlaɪçtsaɪtɪç vɪɾt diː piːkɛtɔɾɡaniːzatsjoːn vɛːrənt diːzɜ tsaɪt ɛntlastət,Futur,0,dieser -> tɛrə
123,dem,deːm,0,1,1,,,,5.0,0.315204,8.0258,8.0,2,"positional, ibm",hd+ipa,Ursprünglich hätte sie auf dem Bild stehen sollen.,waɪ ʃpɾɪʊndɔx heːtsiː uːf deːm biːlə tsœlə ʃtoː,ʊɐʃpɾʏŋlɪç hɛtə ziː aʊf deːm bɪlt ʃteːən zɔlən,Präsens,1,
124,noch,nɔɾ,0,1,1,,,,5.0,0.352594,6.7944,7.0,2,"positional, ibm",hd+ipa,Zudem bin ich bei SRF als Experte noch ein wenig dabei.,tsuːdɛn biniː biːɛsərɛf als ɛkspɛɾtɛ nɔɾ ɛs piːtslɪdɛbiː,tsuːdeːm bɪn ɪç baɪ ɛsɛrɛf als ɛkspɛɾtə nɔx aɪn veːnɪç dɑːbaɪ,Präsens,1,
125,diesen,dɛɾ,0,1,1,,,,4.0,0.823189,8.4078,8.0,2,"positional, ibm",hd+ipa,"Und ich hoffe, dass wir diesen Brückenschlag  miteinander machen können.",ʊn diː hoːfə das miːɾ dɛɾ bɾɪçəɾʃlɑːg miːtən antɾøːnt vaxsə,ʊnt ɪç hɔfə das viːɾ diːzən bɾʏkənʃlɑːk mɪtaɪnandɜ maxən kœnən,Präsens,1,
126,aber,ɑːbɑː,0,1,1,,,,4.0,0.213802,5.6451,6.0,2,"positional, ibm",hd+ipa,Aber wir schauen einfach anders auf den Kapitalismus.,ɑːbɑː meːɾ nuːɛdə aɪvɑːx aɪmdɑːʃt ɔf deː kɑːpɪtɑːlɪsmʊs,ɑːbɜ viːɾ ʃaʊən aɪnfax andɜs aʊf deːn kɑpiːtalɪsmʊs,Präsens,1,
127,ihn,ɪn,0,1,1,,,,4.0,0.469502,4.5636,6.0,2,"positional, ibm",hd+ipa,Trotzdem kennen ihn die wenigsten.,dɾɔtsdɛm kɛnəd ɪn diː vaɪnɪgʃtə,tɾɔtsdeːm kɛnən iːn diː veːnɪçstən,Präsens,1,
128,man,mɛ,0,1,1,,,,4.0,0.271878,3.9322,4.0,2,"positional, ibm",hd+ipa,Man muss da auf beiden Seiten ehrlich sein.,mɛ muːɛs dɑːl ʊfpaɪt deːzid tə eːɪɑːlɪx ziː,man mʊs dɑː aʊf baɪdən zaɪtən eːɾlɪç zaɪn,Präsens,1,
129,sein,ziː,0,1,1,,,,3.0,0.529692,6.7738,7.0,2,"positional, ibm",hd+ipa,Man muss da auf beiden Seiten ehrlich sein.,mɛ muːɛs dɑːl ʊfpaɪt deːzid tə eːɪɑːlɪx ziː,man mʊs dɑː aʊf baɪdən zaɪtən eːɾlɪç zaɪn,Präsens,1,
130,einen,ɪn,0,1,1,,,,3.0,0.463646,4.6991,6.0,2,"positional, ibm",hd+ipa,"Für diesen Verband, einen grossen Gewinn, mit positiven Folgen auch für dich.",fœltɛɾ fɛɾpant ɪnzəs ɪn gɾɑːsək vʏn mɪt pɔsɪtɪfə foːlgə aʊfə diː,fyːɾ diːzən fɛɾbant aɪnən ɡɾɔsən ɡəvɪn mɪt poːziːtiːvən fɔlɡən aʊx fyːɾ dɪç,Präsens,1,stimmt
131,dies,das,0,1,1,,,,3.0,0.211042,3.1102,4.0,2,"positional, ibm",hd+ipa,Ist dies als Kritik zu verstehen?,bɪçt das das kɾɪptɪçts fɛɾʃtɑɾ,ɪst diːs als kɾiːtiːk tsuː fɛɾʃteːən,Präsens,1,
132,diese,diːɾ,1,0,0,12.0,3.6451,0.1379,,,,,1,greedy,hd+ipa,Diese Zahl war bereits vor einer Woche übertroffen worden.,diːɾ tsaɾl ɪnzbəraɪts vɑːn dɛɾ rʊxərbətɾɑːfəvɑːtə,diːzə tsɑːl vɑːɾ bəraɪts fɔɾ aɪnɜ vɔxə yːbɜtɾɔfən vɔɾdən,Präteritum,1,
133,wurde,ɪç,1,0,0,9.0,2.5263,0.1233,,,,,1,greedy,hd+ipa,Ein weiterer Mann wurde im Rahmen einer Fahndung identifiziert und gestellt.,ɛn vɪktərə mɑːɾ ɪç ɪm rɑːmə fɔnɔxfɑːndɪç iːdɛntifiːɾt ʊntgʃtɛlt vɔɾdə,aɪn vaɪtərɜ man vʊɐdə ɪm rɑːmən aɪnɜ fɑːndʊŋ iːdəntiːfiːtsiːɾt ʊnt ɡəʃtɛlt,Präteritum,0,wurde -> ɪç vɔɾdə
134,konnte,kœnə,1,0,0,4.0,7.0987,0.2667,,,,,1,greedy,hd+ipa,Man konnte auf anderweitige Erfahrungen zurückgreifen.,meː hɛːd ɔf andərʋiːtɪgə ɛvaɪgə kœnə tsɾʊç gɾɛːfər,man kɔntə aʊf andɜvaɪtɪɡə ɛɾfɑːrʊŋən tsuːrʏkɡɾaɪfən,Präteritum,?,konnte -> hɛːd kœnə
135,aus,aʊs,0,1,0,,,,9.0,,,,1,positional,hd+ipa,Seine Grossmutter brach darauf in Tränen aus.,tsiːnə groːsmɔːtɛːɾ ɪst daɪɾdɾɔf ɪn tɾɛnən aʊs bɾɔxən,zaɪnə ɡɾɔsmʊtɜ bɾax dɑːraʊf ɪn tɾɛːnən aʊs,Präsens,1,
136,mit,miːt,0,1,0,,,,8.0,,,,1,positional,hd+ipa,"Dieses wird, soweit notwendig, mit den Nutzerinnen und Nutzern abgestimmt.",baːsviːɾt zoːviː noːtvɛntɪk miːt deːnʊtsərɛɲə uːɾdnʊtsɔ apʃtɪŋkt,diːzəs vɪɾt zoːvaɪt noːtvɛndɪç mɪt deːn nʊtseːrɪnən ʊnt nʊtsɜn apɡəʃtɪmt,Futur,1,
137,nicht,nøːt,0,1,0,,,,7.0,,,,1,positional,hd+ipa,"Und das wollen wir in Aarau nicht, auch nicht in der Zwischensaison.",ʊnt ʊntɑs vømeːrɪn ɑːraʊ nøːt ɑːnøːtɪtɪ tə tsvɪʃɛzəzɑːn,ʊnt das vɔlən viːɾ ɪn ɑːraʊ nɪçt aʊx nɪçt ɪn dɛɾ tsvɪʃənzaɪzoːn,Präsens,1,
138,auf,ʊf,0,1,0,,,,5.0,,,,1,positional,hd+ipa,Wer sitzt auf der Piste schon gerne hinten?,vɛɾ siːz ʊf deː biːʃtə ʃʊgɛɾn hiːnə,veːɾ zɪtst aʊf dɛɾ pɪstə ʃoːn ɡɛɾnə hɪntən,Präsens,1,
139,eine,ɛs,0,1,0,,,,4.0,,,,1,positional,hd+ipa,Es ist eine saubere Sache und nicht anders als bei anderen Projektverfahren.,ɛs ʒeːsuːbɾiːzɑːx ɔn neːdɑːndɛɾʃt als biɑːgəndɛrə pɔjɛkt fɛrfɑːrə,ɛsɪst aɪnə zaʊbərə zaxə ʊnt nɪçt andɜs als baɪ andərən pɾoːjɛktfɛɾfɑːrən,Präsens,0,
140,jetzt,ɪt,0,1,0,,,,4.0,,,,1,positional,hd+ipa,Jetzt fühle ich mich bereit für eine Beziehung.,ɪt fyːlɪç nɪçt bəraɪt fyːrə bətsiːɾlk,jɛtst fyːlə ɪç mɪç bəraɪt fyːɾ aɪnə bətsiːʊŋ,Präsens,1,
141,nun,jɛts,0,1,0,,,,4.0,,,,1,positional,hd+ipa,Nun ziehen aber rund um die Vereinbarung dunkle Wolken auf.,jɛts tsɪçə dɑbərʊnt ʊnt fyːiːvɑːrɪçt dʊŋ kɛləvɔl kənuf,nuːn tsiːən ɑːbɜ rʊnt ʊm diː fɛɾaɪnbɑrʊŋ dʊŋklə vɔlkən aʊf,Präsens,1,
142,von,fɔ,0,1,0,,,,4.0,,,,1,positional,hd+ipa,Viele Patienten nehmen ganz selbstverständlich beide Arten von Medizin in Anspruch.,fiːf patsɛntən nɛmə gantsəlf fɔɾʃtɛtɪçtɔç baɪtɪ ɑːtɛn fɔ meːdɪtsiːnɪ ɑːɾʃpɔx,fiːlə patsjɛntən neːmən ɡants zɛlpstfɛɾʃtɛntlɪç baɪdə ɑːɾtən fɔn meːdiːtsiːn ɪn anʃpɾʊx,Präsens,1,
143,alle,ɑːli,0,1,0,,,,3.0,,,,1,positional,hd+ipa,Sie hat alle Büromöbel mitgenommen und hat sich an der Landstrasse eingerichtet.,ziː haɪt ɑːli byːrəm øːbəl miːdknoː ʊnt hɛt zɪç aɪn dɛɾ lant stɔː ziːgɾɪçtət,ziː hat alə byːroːmøːbəl mɪtɡənɔmən ʊnt hat zɪç an dɛɾ lantʃtɾasə aɪnɡərɪçtət,Präsens,1,
144,dabei,dɛɾ,0,1,0,,,,3.0,,,,1,positional,hd+ipa,Dabei sind wir zu keinem vernünftigen Schluss gekommen.,dɛɾ biː zimə tsuː kaɪn fɔnœftɪgə ʃluːs koː,dɑːbaɪ zɪnt viːɾ tsuː kaɪnəm fɛɾnʏnftɪɡən ʃlʊs ɡəkɔmən,Perfekt,0,Dabei -> dɛɾ bi
145,danach,nɔx,0,1,0,,,,3.0,,,,1,positional,hd+ipa,Danach muss der Mazda etwa sieben Stunden lang an die Steckdose.,nɔx tɛm moːdɛmatsɪtɛ ʏpə ziːbə ʃtʊntlɛŋ ɑːtstɪkt oːzə,danax mʊs dɛɾ matsdɑː ɛtvɑː ziːbən ʃtʊndən laŋ an diː ʃtɛkdoːzə,Präsens,1,
146,dieses,das,0,1,0,,,,3.0,,,,1,positional,hd+ipa,Sie hat die Zusammenarbeit für dieses Projekt mit den Gemeinden gesucht.,ɪn hɛt zlɛmə ɑːbɛlt fyːɾ das bɾɛkçt miː deːk maɪnɪnzgzuːxt,ziː hat diː tsuːzamənaɾbaɪt fyːɾ diːzəs pɾoːjɛkt mɪt deːn ɡəmaɪndən ɡəzuːxt,Perfekt,,
147,du,du,0,1,0,,,,3.0,,,,1,positional,hd+ipa,Du wirst wieder und wieder fragen müssen.,du viːɾ ɔʃviːtɛ ɔn bitɛɾ fɔɾgəmɪsə,duː vɪɾst viːdɜ ʊnt viːdɜ frɑːɡən mʏsən,Futur,1,
148,einem,mɪt,0,1,0,,,,3.0,,,,1,positional,hd+ipa,Glücklich verzog sie sich mit einem Buch unter ihre Bettdecke.,glyːglɪç heːd ziːç mɪt deːm meːbʊɐç ʊntɔbeːtɛk hiːv fɔtsɑːgən,ɡlʏklɪç fɛɾtsoːk ziː zɪç mɪt aɪnəm buːx ʊntɜ iːrə bɛtdɛkə,Präsens,,
149,finde,fɪnt,0,1,0,,,,3.0,,,,1,positional,hd+ipa,Ich finde das aber falsch.,ɪç fɪnt dɑː ɑːbɛɾfalʃ,ɪç fɪndə das ɑːbɜ falʃ,Präsens,1,
150,gemeinderat,dɛɾ,0,1,0,,,,3.0,,,,1,positional,hd+ipa,"Ich bitte, den Gemeinderat den Grund zu erläutern.",ɪl bitətə deːr ɪnmaɪndɾɔːt dɛɾ gɾʊntsɛɾ lyːktɛrəvɛ,ɪç bɪtə deːn ɡəmaɪndeːrɑːt deːn ɡɾʊnt tsuː ɛɾlɔøtɜn,Präsens,0,gemeinderat -> ɪnmaɪndɾɔːt
151,keinen,kaɪn,0,1,0,,,,3.0,,,,1,positional,hd+ipa,Es gibt jedoch keinen Grund mit der Umsetzung dringender Massnahmen zuzuwarten.,ɛs giːt jeːdaʊx kaɪn gʊnt miː deːm ʊmsɛtsɪç fɔrdɾɪŋənə mɑːsnɑːmə tsʊːrɛts vɑːɾtə,ɛs ɡiːpt jeːdɔx kaɪnən ɡɾʊnt mɪt dɛɾ ʊmzɛtsʊŋ dɾɪŋəndɜ masnɑːmən tsuːtsuːvaɾtən,Präsens,1,
152,können,dɛɾ,0,1,0,,,,3.0,,,,1,positional,hd+ipa,Sie werden sich sicher gut an den komplizierten Budgetprozess 2017 erinnern können.,ziːvɛɾdə tziːç zɪç zɪç kuːɾət aɪn dɛɾ kɔmplitsiːɾt byːtʃɛ pɔtsɛs tsvaɪt daʊzɪk ʊnt ziːbətseːrɛːrɪːnɛr kʏnən,ziː vɛɾdən zɪç zɪçɜ ɡuːt an deːn kɔmpliːtsiːɾtən bʊdɡɛtpɾoːtsɛs tsvaɪ taʊzənt ziːptseːn ɛɾɪnɜn kœnən,Futur,,
153,könnten,kœntə,0,1,0,,,,3.0,,,,1,positional,hd+ipa,So könnten wir die verschiedenen Szenarien vorbereiten.,soːx kœntə miːɾ diː fɪʃiːdən ɛstsənɑːɾiː fɑːbəraɪtə,zoː kœntən viːɾ diː fɛɾʃiːdənən stseːnɑriːən foːɾbəraɪtən,Präsens,1,
154,millionen,miːliːoːnə,0,1,0,,,,3.0,,,,1,positional,hd+ipa,"In der Kasse befinden sich derzeit noch 1,3 Millionen.",ɪtə kɾɑsə bəfɛndə tsiːx riːtst noː haɪs kɑmətrø miːliːoːnə,ɪn dɛɾ kasə bəfɪndən zɪç dɛɾtsaɪt nɔx aɪns dɾaɪ mɪljoːnən,Präsens,1,
155,allem,diː,0,1,0,,,,2.0,,,,1,positional,hd+ipa,Profitieren würden vor allem die Reichen.,pəroːfɪtɪrən viːɾɾtət vərɑːləm diː riːɣə,pɾoːfiːtiːrən vʏɾdən fɔɾ aləm diː raɪçən,Präsens,,
156,also,ɑːlsə,0,1,0,,,,2.0,,,,1,positional,hd+ipa,Also sind Konzerte an dieser Lage nicht geeignet.,ɑːlsə ziːn kɔnzɛɾt dɛɾ ɛɾalaɪbənə gaɪgəmət,alzoː zɪnt kɔntsɛɾtə an diːzɜ lɑːɡə nɪçt ɡəaɪɡnət,Perfekt,1,
157,an,aɪdə,0,1,0,,,,2.0,,,,1,positional,hd+ipa,An den Häfen drohten Chaos und Staus.,aɪdə hɛfə hɪnkaʊz ʃtaʊstɾʊt,an deːn hɛːfən dɾoːtən ʃɑoːs ʊnt ʃtaʊs,Präsens,,
158,anderer,andərə,0,1,0,,,,2.0,,,,1,positional,hd+ipa,Ohne den Support anderer Kantone sind sämtliche Bestrebungen chancenlos.,oːniːdɛs uːpɔɾt foː andərə kɾantəln zɪndaliːaɾʃtɾɛŋiːgɛ ʃɔnsoːloːs,oːnə deːn zʊpɔɾt andərɜ kantoːnə zɪnt zɛmtlɪçə bəʃtɾeːbʊŋən ʃɑ̃sənloːs,Präsens,,
159,antrag,ɑːtɾɑːk,0,1,0,,,,2.0,,,,1,positional,hd+ipa,"Wir haben uns entschieden, den Antrag bezüglich der Grünflächenziffer zurückzuziehen.",meːr hɪndyːz ɪmtsʃiːtɛdə ɑːtɾɑːk bɪtsyːglɪçtə gɾyːrlɛçətsiːfərə tsʊktstsiːɾ,viːɾ hɑːbən ʊns ɛntʃiːdən deːn antɾɑːk bətsyːklɪç dɛɾ ɡɾʏnflɛçɛntsɪfɜ tsuːrʏktsuːtsiːən,Präsens,,
160,anträge,dɛɾ,0,1,0,,,,2.0,,,,1,positional,hd+ipa,Abschliessend unterstützt die SP auch die Anträge der FGPK.,abʃlyːsənt ʊndɛst diːts dɛsbɪː aʊtɑːdɾɛk fɔn dɛɾ ɛfgɛp kɑː,apʃliːsənt ʊntɜʃtʏtst diː ɛspeː aʊx diː antɾɛːɡə dɛɾ ɛfɡeːpeːkɑː,Präsens,,
161,audi,aʊdiː,0,1,0,,,,2.0,,,,1,positional,hd+ipa,Audi will die Technik beim neuen A8 zum Standard machen.,aʊdiː vɪltɪɾ tɛxnɪç bɪm nɔøə ɑːɾɑːx tsʊm ʃtandɜ maxə,aʊdiː vɪl diː tɛçnɪk baɪm nɔøən ɑː axt tsʊm ʃtandaɾt maxən,Präsens,,
162,beispielsweise,viːs,0,1,0,,,,2.0,,,,1,positional,hd+ipa,Sie würde beispielsweise an Joseph Goebbels erinnern.,ɪn yːɾt biːʃpɪls viːs ɑn jɔs ɛv kœbɛts ɛɾɛnərə,ziː vʏɾdə baɪʃpiːlsvaɪzə an joːzeːf ɡœbəls ɛɾɪnɜn,Präsens,,
163,besonders,pzʊndəs,0,1,0,,,,2.0,,,,1,positional,hd+ipa,Besonders hart betroffen ist Deutschland.,pzʊndəs hɑːt bətɾɑːffɛɾ ɪn stɪtʃlənt,bəzɔndɜs haɾt bətɾɔfən ɪst dɔøtʃlant,Präsens,,
164,bisher,piːz,0,1,0,,,,2.0,,,,1,positional,hd+ipa,Doch dies geschah bisher nicht.,dɑːx dɑː ɪʃ piːz jɛts nɪp pasiːɾd,dɔx diːs ɡəʃɑː bɪsheːɾ nɪçt,Präsens,,
165,bundesrat,bʊndəs,0,1,0,,,,2.0,,,,1,positional,hd+ipa,Der Bundesrat lehnt ein solches Verbot ab.,ɪtə bʊndəs rɔɾt leːnt ɛs vøːtlɪks fɛɾbɔɾt ap,dɛɾ bʊndəsrɑːt leːnt aɪn zɔlçəs fɛɾboːt ap,Präsens,,
166,da,dɑːx,0,1,0,,,,2.0,,,,1,positional,hd+ipa,Da kann man nicht in der Jugendherberge absteigen.,dɑːx hɑːmɑːnøt iːl iːl iːʊkən tɑːjɑːpɑːr kɑːp ɑːpʃtiːkə,dɑː kan man nɪçt ɪn dɛɾ juːɡənthɜbɛɾɡə apʃtaɪɡən,Präsens,,
167,damals,dɛɾ,0,1,0,,,,2.0,,,,1,positional,hd+ipa,Die EU-Kommission lehnte damals die geforderte Summe ab.,deːoːkɾʊmɪsoːn hɛl damɛɾɛs dɛɾ kfɔɾdɜtsʊmɛ aɾplɪnt,diː eːuːkɔmɪsjoːn leːntə dɑmɑːls diː ɡəfɔɾdɜtə zʊmə ap,Präsens,,
168,darf,dɛɾ,0,1,0,,,,2.0,,,,1,positional,hd+ipa,Darf ich meine Freundin darauf ansprechen?,dɛɾ fiːn vɪnɪfʊldɪn ɔf dɑː ɑːr spɛçə,daɾf ɪç maɪnə frɔøndɪn dɑːraʊf anʃpɾɛçən,Präsens,,
169,davon,fɔr,0,1,0,,,,2.0,,,,1,positional,hd+ipa,Als Folge davon könne er weder Mitleid noch Gefühle entwickeln.,ɑz fʊlk fɔr dɛm kɔn jɛɾ vɪɾ dɛmɪdlɛɪdən ɑp fyːlɪnt viːklə,als fɔlɡə dɑːfɔn kœnə ɛɾ veːdɜ mɪtlaɪt nɔx ɡəfyːlə ɛntvɪkəln,Präsens,,
170,denn,aɪn,0,1,0,,,,2.0,,,,1,positional,hd+ipa,Muss man denn wirklich am Sonntag einkaufen gehen?,møːs ʊn aɪn vøːçləm zɔntə giːrə haʊfə gaʊ,mʊs man dɛn vɪɾklɪç am zɔntɑːk aɪnkaʊfən ɡeːən,Präsens,,
171,diesem,deːm,0,1,0,,,,2.0,,,,1,positional,hd+ipa,Aus diesem Grund rechtfertigt sich ein frühzeitiger Start der Planungsarbeiten.,aʊs deːm gɾʊndərɛxt fɛɾtɪgə tsɪçən frøtsɪtɪgə stɑːt fɔr deː blɑːnɪksaɾbaɪtɛɾ,aʊs diːzəm ɡɾʊnt rɛçtfɛɾtɪçt zɪç aɪn fryːtsaɪtɪɡɜ ʃtaɾt dɛɾ plɑnʊŋsaɾbaɪtən,Präsens,,
172,einfach,aɪvɑːx,0,1,0,,,,2.0,,,,1,positional,hd+ipa,Aber wir schauen einfach anders auf den Kapitalismus.,ɑːbɑː meːɾ nuːɛdə aɪvɑːx aɪmdɑːʃt ɔf deː kɑːpɪtɑːlɪsmʊs,ɑːbɜ viːɾ ʃaʊən aɪnfax andɜs aʊf deːn kɑpiːtalɪsmʊs,Präsens,,
173,eingehalten,iː,0,1,0,,,,2.0,,,,1,positional,hd+ipa,"Es ist eine Selbstverständlich, dass diese eingehalten wird.",ɛs ɪç zɛp fɔɾʃtɛndlɔç das dɑː iː kɑːltɛrviːɾt,ɛsɪst aɪnə zɛlpstfɛɾʃtɛntlɪç das diːzə aɪnɡəhaltən vɪɾt,Futur,,
