HD_Phrase,IPA_Phrase,HD_N,IPA_N,Mapping_Type,Is_Phrase_Mapping,Gemeinsame_Treffer,Occurrence_Count,HD_Haeufigkeit,IPA_Haeufigkeit,HD_Rate,IPA_Rate,PMI,Avg_Position_Distance,Score,Example_Sentence,Example_IPA_Audio,Example_IPA_Reference,Example_Tense,Rank_For_HD_Phrase
prozent,pɔtsɛnt,1,1,1-1,0,6,6,33,7,0.1818,0.8571,6.3238,0.0374,36.5245,"Im kommenden Jahr soll sie weiter auf 6,4 Prozent sinken.",ɪm nɛgʃtə jɑː zʊt ziːn nɔmɪ ɔf zɛxt kɔm ɪn fiːɾ pɔtsɛnt zɪnkə,ɪm kɔməndən jɑːɾ zɔl ziː vaɪtɜ aʊf zɛks fiːɾ pɾoːtsɛnt zɪŋkən,Präsens,1
was,vas,1,1,1-1,0,6,6,32,8,0.1875,0.75,6.1755,0.0335,35.8128,Was muss man sich unter mobilen Bänken vorstellen?,vas muːɾs mɔz mɔz zɪç ʊntɛɾ mɔbiːlə bɛŋk fɔɾʃtɛlə,vas mʊs man zɪç ʊntɜ moːbiːlən bɛŋkən foːɾʃtɛlən,Präsens,1
nie,niːɾ,1,1,1-1,0,5,5,14,8,0.3571,0.625,7.1052,0.0444,33.9497,Aber er gab nie zweimal dasselbe Konzert.,ɛt hɛlt niːɾ tsvaɪmɪl sɛlbɪk kʊntsɛrt gɛl,ɑːbɜ ɛɾ ɡɑːp niː tsvaɪmɑːl daszɛlbə kɔntsɛɾt,Präteritum,1
schweiz,ʃviːts,1,1,1-1,0,5,5,20,5,0.25,1.0,7.2687,0.0722,33.7185,Bei Pro Bahn Schweiz kennt man das Problem.,biː pɾoːbɑːn ʃviːts kɾɛmə ɛnz pɾoːbleːmən,baɪ pɾoː bɑːn ʃvaɪts kɛnt man das pɾoːbleːm,Präsens,1
thema,teːmɑː,1,1,1-1,0,5,5,17,5,0.2941,1.0,7.5031,0.1017,33.7018,Auch innerhalb der SVP wurde über dieses Thema eingehend diskutiert.,aʊɪnə haɪdffə ɛsəpɪt iʃ ybɛdɛs teːmɑː iːgɛn gɛndldɪs kʊdiːət vɔːdə,aʊx ɪnɜhalp dɛɾ ɛsfaʊpeː vʊɐdə yːbɜ diːzəs teːmɑː aɪnɡeːənt dɪskuːtiːɾt,Präteritum,1
bis,bɪs,1,1,1-1,0,6,6,32,11,0.1875,0.5455,5.7161,0.0447,32.7621,Erhöhungsanträgen stehen wir grundsätzlich sehr kritisch bis ablehnend gegenüber.,ɛɾhøːlɪks aɾtɾaɪgɛstəlm viːɾ aɾ gɾʊntsətsəx zɛɾ kɾɪktɪç bɪs apleːnɪŋ gɛlgəneːbɜ,ɛɾhøːʊŋsantɾɛːɡən ʃteːən viːɾ ɡɾʊndzɛtslɪç zeːɾ kɾiːtɪʃ bɪs apleːnənt ɡeːɡənyːbɜ,Präsens,1
er ist,ɛr,2,1,2-1,1,4,4,7,4,0.5714,1.0,8.7832,0.0783,32.381,"Er ist verheiratet, hat drei erwachsene Kinder und zwei Enkel.",ɛr ɪʃ kʊvyːrɑːtət heːt dɾaɪɛɾ vaxzɪnə kɪnd ʊnt tsvaɪ ɛnkəl,ɛɾ ɪst fɛɾhaɪrɑːtət hat dɾaɪ ɛɾvaxzənə kɪndɜ ʊnt tsvaɪ ɛnkəl,Präsens,1
viele,fiːl,1,1,1-1,0,6,6,22,18,0.2727,0.3333,5.5462,0.0317,32.2207,Viele Neuzuzüger lassen daher die Finger davon.,fiːl nɔø tsuː eːtyːkɔːl lœn dɾʊm fɪŋɔːdə foː,fiːlə nɔøtsuːtsyːɡɜ lasən dɑːhɛɾ diː fɪŋɜ dɑːfɔn,Präsens,1
haben wir,hɛm,2,1,2-1,1,5,5,18,8,0.2778,0.625,6.7426,0.0555,31.8428,"Deshalb haben wir uns ja bereits entschieden, ein solches Alterszentrum zu bauen.",dɑːrʊŋ hɛm miːryːsaʊ bəraɪts ɛntʃiːdə eːzøːtɪks altʊs tsɛnt dʊmt tsvaʊən,dɛshalp hɑːbən viːɾ ʊns jɑː bəraɪts ɛntʃiːdən aɪn zɔlçəs altɜstsɛntɾʊm tsuː baʊən,Präsens,1
mehr als,meː als,2,2,2-2,1,4,4,10,4,0.4,1.0,8.2687,0.0614,31.0451,Jedes Jahr reisen mehr als 35 Millionen Touristen nach Thailand.,jeːdəs jɑːɾ als meː als fœfətɾɪsk mɪliːɔːnə duː viːɾʃtə ɔftɛɪlɛnt,jeːdəs jɑːɾ raɪzən meːɾ als fʏnf ʊntdɾaɪsɪç mɪljoːnən tuːrɪstən nɑːx taɪlant,Präsens,1
zudem,tsuːdɛm,1,1,1-1,0,4,4,11,5,0.3636,0.8,7.8092,0.0169,30.7101,Natürlich kommen zudem auch Araber und Russen.,nɑtyːɾiː kɛmɪ tsuːdɛm aʊ ɑːrɑːbɑː ʊntɾʊsɛ,nɑːtyːɾlɪç kɔmən tsuːdeːm aʊx ɑrɑːbɜ ʊnt rʊsən,Präsens,1
machen,maxə,1,1,1-1,0,5,5,20,10,0.25,0.5,6.2687,0.0253,30.5497,Und ich möchte auch kein Geheimnis daraus machen.,ʊn diː mɛçt aʊkhaɪs kɑlmɪs tɔs maxə,ʊnt ɪç mœçtə aʊx kaɪn ɡəhaɪmnɪs dɑːraʊs maxən,Präsens,1
einmal,aɪmɑːl,1,1,1-1,0,4,4,14,4,0.2857,1.0,7.7832,0.0238,30.3911,Einmal ging die Heizung nicht.,aɪmɑːl ɪst haɪtsɪg nɪç gɑŋ,aɪnmɑːl ɡɪŋ diː haɪtsʊŋ nɪçt,Präteritum,1
genau,knaʊ,1,1,1-1,0,4,4,15,4,0.2667,1.0,7.6837,0.042,29.445,Wie ging das Personal genau vor?,viːɾ iːʃtɾiːɾɑːl zoːnaːl knaʊ vɔːr kaŋdə,viː ɡɪŋ das pɛɾzoːnɑːl ɡənaʊ fɔɾ,Präteritum,1
frauen,fraʊə,1,1,1-1,0,4,4,15,4,0.2667,1.0,7.6837,0.0482,29.2546,"Die Frauen verloren im Schnitt 1,5 Kilogramm.",ɪn fraʊə hɛn diː bɛʃniːt aɪs kɛnma fyːf kɪloː fɛɾlɔvərə,diː fraʊən fɛɾloːrən ɪm ʃnɪt aɪns fʏnf kiːlɔɡɾam,Präteritum,1
bleiben,bliːbə,1,1,1-1,0,4,4,13,6,0.3077,0.6667,7.3052,0.0085,28.9717,Die parlamentarische Anfrage des BZÖ werde entsprechend unbeantwortet bleiben.,ɑːləməntɑːrɪʃiː ɑːfhɑːg fɔm beːtsət bɪl vɪɾd ɪnspɛçɪt ʊnt bɛɾandwɑːtə bliːbə,diː paɾlaməntɑrɪʃə anfrɑːɡə dɛs beːtsɛtøː vɛɾdə ɛntʃpɾɛçənt ʊnbəantvɔɾtət blaɪbən,Futur,1
stelle,ʃtɛl,1,1,1-1,0,4,4,10,6,0.4,0.6667,7.6837,0.0609,28.8624,Die Fiko hat anschliessend diese zu besetzende Stelle näher betrachtet.,ɪɾ viːkɔ hɛɾ aɾʃlyːsənt diː suː bɛzɛtsən diː ʃtɛl nœʁɔbəpraxtət,diː fiːkoː hat anʃliːsənt diːzə tsuː bəzɛtsəndə ʃtɛlə nɛːɜ bətɾaxtət,Präsens,1
vier,fiːɾ,1,1,1-1,0,5,5,11,22,0.4545,0.2273,5.9937,0.0448,28.6262,Von den letzten vier Grand-Slam-Finals hat Federer nun drei verloren.,fɔr dɛɾ ɪtʃtə fiːɾ bɾɛnslɛnfaɪnəlz hɛt feːdɾɔː nʊmə dɾyːfəlɔɾə,fɔn deːn lɛtstən fiːɾ ɡɾantslɑːmfiːnɑːls hat feːdərɜ nuːn dɾaɪ fɛɾloːrən,Präteritum,1
grossen,gɾoːsə,1,1,1-1,0,4,4,13,6,0.3077,0.6667,7.3052,0.0257,28.4698,Wir können heute keine grossen ambitionierten Sparmassnahmen in so kurzer Zeit präsentieren.,meːrçənt hyːdkɪç kɔɾaɪk gɾoːsə ɑːn bitsəniːr diː ʃpasnɑːmə iːzɑːxɔːtsɑː tsɪːk beːzənt diːrə,viːɾ kœnən hɔøtə kaɪnə ɡɾɔsən ambiːtsjoːniːɾtən ʃpaɾmasnɑːmən ɪn zoː kʊɐtsɜ tsaɪt pɾɛːzəntiːrən,Präsens,1
fall,fal,1,1,1-1,0,4,4,14,5,0.2857,0.8,7.4613,0.0463,28.4644,"Das ist nicht der Fall, wir werden mit der Abstimmungsanlage abstimmen.",das iː ʃnɛltə fal meːɾ vɛɾdə mɪç tɛɾ aɪpʃtɪmʊŋs halɑːk aɪpʃtɪmə,das ɪst nɪçt dɛɾ fal viːɾ vɛɾdən mɪt dɛɾ apʃtɪmʊŋsanlɑːɡə apʃtɪmən,Futur,1
und für,ʊnt fyːɾ,2,2,2-2,1,3,3,3,3,1.0,1.0,10.0056,0.0583,28.2659,Und für das müssen nicht sieben Jahre lang Abklärungen gemacht werden.,ʊnt fyːɾ taːx myːn nyːtsɪbə jɔːrlɑŋ apglɛːrɪgə gmaxt vɛɾdə,ʊnt fyːɾ das mʏsən nɪçt ziːbən jɑːrə laŋ apklɛːrʊŋən ɡəmaxt vɛɾdən,Futur,1
mehr als,meː,2,1,2-1,1,5,5,10,22,0.5,0.2273,6.1312,0.0782,28.2591,Jedes Jahr reisen mehr als 35 Millionen Touristen nach Thailand.,jeːdəs jɑːɾ als meː als fœfətɾɪsk mɪliːɔːnə duː viːɾʃtə ɔftɛɪlɛnt,jeːdəs jɑːɾ raɪzən meːɾ als fʏnf ʊntdɾaɪsɪç mɪljoːnən tuːrɪstən nɑːx taɪlant,Präsens,2
frage,frɑːk,1,1,1-1,0,4,4,17,4,0.2353,1.0,7.5031,0.0587,28.2504,Bleibt die Frage nach einer privaten Trägerschaft der Museen.,dɛnt stɛlt zɪç nɔp frɑːk fɔn ɾɛpɾiːvɑːtɛt tɾɛgɛɾʃaːft fɔ deː muːsiːɛ,blaɪpt diː frɑːɡə nɑːx aɪnɜ pɾiːvɑːtən tɾɛːɡɜʃaft dɛɾ muːzeːən,Präsens,1
neue,nɔø,1,1,1-1,0,5,5,23,12,0.2174,0.4167,5.804,0.0303,28.1401,Welche aufregenden Möglichkeiten eröffnen neue Technologien?,vɪl juːvɾɛgənə mɪgəlgɾaɪtə rɛftə nɔø tɛxŋoːlɔgiːɛ,vɛlçə aʊfreːɡəndən mœklɪçkaɪtən ɛɾœfnən nɔøə tɛçnoːloːɡiːən,Präsens,1
auch der,aʊtə,2,1,2-1,1,4,4,11,7,0.3636,0.5714,7.3238,0.0421,28.0623,Die Preisdifferenz erachtet auch der Stadtrat als zu gross.,pɾiːstəfərɛnts ɛɾɑːxdət aʊtə ʃtatɾɑːt aʊst tsuːkɔs,diː pɾaɪsdɪfeːrɛnts ɛɾaxtət aʊx dɛɾ ʃtatɾɑːt als tsuː ɡɾɔs,Präsens,1
plus,blʊs,1,1,1-1,0,3,3,4,3,0.75,1.0,9.5906,0.0303,27.8999,"Dies entspricht einem Plus von 0,4 Prozent.",taɪs ɛnʃpɾɪçt fɔm neː blʊs foː nʊɾ kɔm ɪnfɪɾ pɔtsɛnt,diːs ɛntʃpɾɪçt aɪnəm plʊs fɔn nʊl fiːɾ pɾoːtsɛnt,Präsens,1
unter,ʊntɜ,1,1,1-1,0,4,4,22,4,0.1818,1.0,7.1312,0.0285,27.7118,Die Feuerwehr habe den Brand schnell unter Kontrolle gebracht.,fyːɾvɪɾ heːbɪdə bɾaɪmd ʃnɛl ʊntɜ gɾʊntɾɔlə pɔxt,diː fɔøɜveːɾ hɑːbə deːn bɾant ʃnɛl ʊntɜ kɔntɾɔlə ɡəbɾaxt,Perfekt,1
bäume,bɔøm,1,1,1-1,0,3,3,3,3,1.0,1.0,10.0056,0.077,27.7066,Im Wald hat sie die Bäume umarmt.,ɪn baːlət hɛnt ziːt bɔøm ʊm aʊnt,ɪm valt hat ziː diː bɔømə ʊmaɾmt,Präsens,1
plus von,blʊs,2,1,2-1,1,3,3,3,3,1.0,1.0,10.0056,0.0802,27.6102,"Dies entspricht einem Plus von 0,4 Prozent.",taɪs ɛnʃpɾɪçt fɔm neː blʊs foː nʊɾ kɔm ɪnfɪɾ pɔtsɛnt,diːs ɛntʃpɾɪçt aɪnəm plʊs fɔn nʊl fiːɾ pɾoːtsɛnt,Präsens,1
nichts,nyːd,1,1,1-1,0,4,4,13,6,0.3077,0.6667,7.3052,0.064,27.351,Nichts geändert haben die Japaner allerdings am Motor.,nyːd kɛndrɛt hɛnt jɑpɑːn ɑːlədɪŋ sɑːmɑːtoː,nɪçts ɡəɛndɜt hɑːbən diː japɑːnɜ alɜdɪŋs am moːtoːɾ,Perfekt,1
beispielsweise,viːs,1,1,1-1,0,3,3,3,4,1.0,0.75,9.5906,0.0529,27.2484,Sie würde beispielsweise an Joseph Goebbels erinnern.,ɪn yːɾt biːʃpɪls viːs ɑn jɔs ɛv kœbɛts ɛɾɛnərə,ziː vʏɾdə baɪʃpiːlsvaɪzə an joːzeːf ɡœbəls ɛɾɪnɜn,Präsens,1
mal,mɔl,1,1,1-1,0,4,4,17,5,0.2353,0.8,7.1812,0.0538,27.1797,Jedes Mal lief sie bisher damit auf.,jɛtəs mɔl laʊftsiʊt biːt ɛɾdə miːk duːf,jeːdəs mɑːl liːf ziː bɪsheːɾ dɑːmɪt aʊf,Präteritum,1
letzten,lɛtʃtə,1,1,1-1,0,4,4,19,4,0.2105,1.0,7.3427,0.0746,27.179,Die letzten fünf bis sechs Jahre waren geprägt von intensiven Budgetdebatten.,diː lɛtʃtə fyːf bɪsɛç ziːɑːr zɪm tɾɛksiː foːɪntəntsiːf fɛɾbiːtʃɛtə bɑːtə,diː lɛtstən fʏnf bɪs zɛks jɑːrə vɑːrən ɡəpɾɛːkt fɔn ɪntɛnziːvən bʊdɡɛtdeːbatən,Plusquamperfekt,1
nicht ganz,gants,2,1,2-1,1,4,4,7,12,0.5714,0.3333,7.1983,0.0569,27.1544,Cannabis ist in Bezug auf Psychose nicht ganz ohne.,kɑnɑpɪs ɪn bɪtsuːkɔf pɪsɪxɔsɛ nøk gants ɔnɪ,kanabɪs ɪst ɪn bətsuːk aʊf pzʏçoːzə nɪçt ɡants oːnə,Präsens,1
entscheid,tʃaɪt,1,1,1-1,0,3,3,4,3,0.75,1.0,9.5906,0.059,27.075,Die meisten warten auf den Entscheid über ihren Asylantrag.,ɪmaɪlʃtɛɾ vaɾgdəd aʊf daɪn tʃaɪt ʏbɛɾ iːɾən asyːlaːtɾak,diː maɪstən vaɾtən aʊf deːn ɛntʃaɪt yːbɜ iːrən ɑzyːlantɾɑːk,Präsens,1
dort,dœt,1,1,1-1,0,4,4,25,4,0.16,1.0,6.9467,0.0278,27.0157,Dort kann die Bank unter Umständen gegen ihre eigenen Kunden spekulieren.,dœt kɑn pɑnk ʊnt ʊmstɛndɪgɛkɛɾ aɪgɪnək kʊndə spɪkoːliːrə,dɔɾt kan diː baŋk ʊntɜ ʊmʃtɛndən ɡeːɡən iːrə aɪɡənən kʊndən ʃpeːkuːliːrən,Präsens,1
im rahmen,rɑːmə,2,1,2-1,1,3,3,4,3,0.75,1.0,9.5906,0.0713,26.719,Ein weiterer Mann wurde im Rahmen einer Fahndung identifiziert und gestellt.,ɛn vɪktərə mɑːɾ ɪç ɪm rɑːmə fɔnɔxfɑːndɪç iːdɛntifiːɾt ʊntgʃtɛlt vɔɾdə,aɪn vaɪtərɜ man vʊɐdə ɪm rɑːmən aɪnɜ fɑːndʊŋ iːdəntiːfiːtsiːɾt ʊnt ɡəʃtɛlt,Präteritum,1
menschen,mɛntʃɛ,1,1,1-1,0,4,4,22,4,0.1818,1.0,7.1312,0.0667,26.623,Die Menschen respektieren den Sport.,ɪn mɛntʃɛ ɾɛspɛktiːrət deː spɑːlt,diː mɛnʃən rɛspɛktiːrən deːn ʃpɔɾt,Präsens,1
liegt,liːt,1,1,1-1,0,4,4,16,6,0.25,0.6667,7.0056,0.0583,26.3898,Das Jahresprogramm liegt auf.,siɔvɛs pɔkɾɑːm liːt uːf,das jɑːrɛʃpɾɔɡɾam liːkt aʊf,Präsens,1
im rahmen,ɪm rɑːmə,2,2,2-2,1,3,3,4,3,0.75,1.0,9.5906,0.0868,26.2757,Ein weiterer Mann wurde im Rahmen einer Fahndung identifiziert und gestellt.,ɛn vɪktərə mɑːɾ ɪç ɪm rɑːmə fɔnɔxfɑːndɪç iːdɛntifiːɾt ʊntgʃtɛlt vɔɾdə,aɪn vaɪtərɜ man vʊɐdə ɪm rɑːmən aɪnɜ fɑːndʊŋ iːdəntiːfiːtsiːɾt ʊnt ɡəʃtɛlt,Präteritum,2
deutschen,dyːtʃə,1,1,1-1,0,3,3,5,3,0.6,1.0,9.2687,0.0551,26.2752,Die deutschen Hersteller spielen dabei nach wie vor die erste Geige.,diː dyːtʃə hɛɾstələ ʃpɪlt dɛɾ biːhiː nɑːx ɪfoːɾ deːɾstə giːgə,diː dɔøtʃən hɛɾʃtɛlɜ ʃpiːlən dɑːbaɪ nɑːx viː fɔɾ diː eːɾstə ɡaɪɡə,Präsens,1
druck,dɾʊk,1,1,1-1,0,3,3,5,3,0.6,1.0,9.2687,0.0569,26.2244,So entsteht auch ein gewisser sozialer Druck.,zoː ɛnʃtɑːɾdɛn gvɪsɪs zʊtsiːɑːlə dɾʊk,zoː ɛntʃteːt aʊx aɪn ɡəvɪsɜ zoːtsiːɑːlɜ dɾʊk,Präsens,1
die zahl der,tsɑːl,3,1,3-1,1,3,3,4,3,0.75,1.0,9.5906,0.091,26.1534,"Die Zahl der Angestellten stieg zwar um 1,1 Prozent auf 971.",tsɑːl fɔɾ dɑːɾ aɾgʃtɛltən ɪnz aɪgɛnlɪçɔm aɪskɾʊmɑː aɪspoːtsɛnt dʊfniːx oːnət aɪnɪs ɪbɛts gʃtiːgən,diː tsɑːl dɛɾ anɡəʃtɛltən ʃtiːk tsvɑːɾ ʊm aɪns aɪns pɾoːtsɛnt aʊf nɔønhʊndɜt aɪn ʊntziːptsɪç,Präteritum,1
möchte,mɛçt,1,1,1-1,0,4,4,24,5,0.1667,0.8,6.6837,0.0219,26.1486,Gerne möchte ich aber zu Grundsätzlichem kommen.,gɛɾdən mɛçt diː aːbɛrtsuː gɾʊnt tsɛtslɪç ɪmkɔːx,ɡɛɾnə mœçtə ɪç ɑːbɜ tsuː ɡɾʊndzɛtslɪçəm kɔmən,Präsens,1
alle,alɪ,1,1,1-1,0,4,4,25,4,0.16,1.0,6.9467,0.0636,26.0204,Doch der Zwischenfall endete nicht für alle glimpflich.,dɔxt tsuːʃɛfɑːl hɛnt nɪçfɪɾ alɪ glɪmtflɪç gɛndɛt,dɔx dɛɾ tsvɪʃənfal ɛndətə nɪçt fyːɾ alə ɡlɪmpflɪç,Präsens,1
wissen,vyːsə,1,1,1-1,0,3,3,7,3,0.4286,1.0,8.7832,0.0185,25.8617,"Wir wissen, dass die Stadt dieses Thema anpackt.",eːɾ vyːsə ɛt ɛs ʃtɑːt daɪ teːmɑ ɑːpɑːkt,viːɾ vɪsən das diː ʃtat diːzəs teːmɑː anpakt,Präsens,1
die zahl,tsɑːl,2,1,2-1,1,3,3,5,3,0.6,1.0,9.2687,0.0725,25.7904,"Die Zahl der Angestellten stieg zwar um 1,1 Prozent auf 971.",tsɑːl fɔɾ dɑːɾ aɾgʃtɛltən ɪnz aɪgɛnlɪçɔm aɪskɾʊmɑː aɪspoːtsɛnt dʊfniːx oːnət aɪnɪs ɪbɛts gʃtiːgən,diː tsɑːl dɛɾ anɡəʃtɛltən ʃtiːk tsvɑːɾ ʊm aɪns aɪns pɾoːtsɛnt aʊf nɔønhʊndɜt aɪn ʊntziːptsɪç,Präteritum,1
zahl der,tsɑːl,2,1,2-1,1,3,3,4,3,0.75,1.0,9.5906,0.1095,25.6206,"Die Zahl der Angestellten stieg zwar um 1,1 Prozent auf 971.",tsɑːl fɔɾ dɑːɾ aɾgʃtɛltən ɪnz aɪgɛnlɪçɔm aɪskɾʊmɑː aɪspoːtsɛnt dʊfniːx oːnət aɪnɪs ɪbɛts gʃtiːgən,diː tsɑːl dɛɾ anɡəʃtɛltən ʃtiːk tsvɑːɾ ʊm aɪns aɪns pɾoːtsɛnt aʊf nɔønhʊndɜt aɪn ʊntziːptsɪç,Präteritum,1
weiss,vaɪs,1,1,1-1,0,3,3,6,4,0.5,0.75,8.5906,0.0119,25.465,"Soviel ich weiss, ist der Einwohnerrat die Legislative in einer Gemeinde.",tsuːfiːlɪç vaɪs ɪçtə iːvoːnərɑːɾt lɛgɪslatiːveː iːdɛgɛmaɪnt,zoːviːl ɪç vaɪs ɪst dɛɾ aɪnvoːnɜrɑːt diː leːɡɪslatiːvə ɪn aɪnɜ ɡəmaɪndə,Präsens,1
rahmen,rɑːmə,1,1,1-1,0,3,3,5,3,0.6,1.0,9.2687,0.0869,25.3883,Ein weiterer Mann wurde im Rahmen einer Fahndung identifiziert und gestellt.,ɛn vɪktərə mɑːɾ ɪç ɪm rɑːmə fɔnɔxfɑːndɪç iːdɛntifiːɾt ʊntgʃtɛlt vɔɾdə,aɪn vaɪtərɜ man vʊɐdə ɪm rɑːmən aɪnɜ fɑːndʊŋ iːdəntiːfiːtsiːɾt ʊnt ɡəʃtɛlt,Präteritum,1
ich finde,ɪç fɪnt,2,2,2-2,1,3,3,7,3,0.4286,1.0,8.7832,0.0381,25.3459,Ich finde das aber falsch.,ɪç fɪnt dɑː ɑːbɛɾfalʃ,ɪç fɪndə das ɑːbɜ falʃ,Präsens,1
rolle,roːlə,1,1,1-1,0,3,3,7,3,0.4286,1.0,8.7832,0.0408,25.2749,Schwarz spielt für einmal eine eher untergeordnete Rolle.,ʃvaɾts ʃpyːt vɛɾ aɪmɑːl eːɾ aɪn ʊntɛgɑːdən diː roːlə,ʃvaɾts ʃpiːlt fyːɾ aɪnmɑːl aɪnə eːɜ ʊntɜɡəɔɾdnətə rɔlə,Präsens,1
24,fiːrə,1,1,1-1,0,3,3,4,4,0.75,0.75,9.1755,0.0881,25.1017,Er bekam 24 Millionen Franken.,haɪd fiːrə tsɑns gəloːnə fɾɑnkə iːbɾɾoːm,ɛɾ bəkɑːm fiːɾ ʊnttsvantsɪç mɪljoːnən fraŋkən,Präsens,1
rahmen,ɪm rɑːmə,1,2,1-2,1,3,3,5,3,0.6,1.0,9.2687,0.1024,24.96,Ein weiterer Mann wurde im Rahmen einer Fahndung identifiziert und gestellt.,ɛn vɪktərə mɑːɾ ɪç ɪm rɑːmə fɔnɔxfɑːndɪç iːdɛntifiːɾt ʊntgʃtɛlt vɔɾdə,aɪn vaɪtərɜ man vʊɐdə ɪm rɑːmən aɪnɜ fɑːndʊŋ iːdəntiːfiːtsiːɾt ʊnt ɡəʃtɛlt,Präteritum,2
zahl,tsɑːl,1,1,1-1,0,3,3,6,3,0.5,1.0,9.0056,0.091,24.5582,"Die Zahl der Angestellten stieg zwar um 1,1 Prozent auf 971.",tsɑːl fɔɾ dɑːɾ aɾgʃtɛltən ɪnz aɪgɛnlɪçɔm aɪskɾʊmɑː aɪspoːtsɛnt dʊfniːx oːnət aɪnɪs ɪbɛts gʃtiːgən,diː tsɑːl dɛɾ anɡəʃtɛltən ʃtiːk tsvɑːɾ ʊm aɪns aɪns pɾoːtsɛnt aʊf nɔønhʊndɜt aɪn ʊntziːptsɪç,Präteritum,1
eltern,ɛltərə,1,1,1-1,0,3,3,8,3,0.375,1.0,8.5906,0.0502,24.4777,Erst einmal musste er sein Dilemma seinen Eltern beichten.,tseːɾʃəmɑːl heːt dɛɾzɪst diː lɛmɑː møːsə ziːn ɛltərə biːxtə,eːɾst aɪnmɑːl mʊstə ɛɾ zaɪn diːlɛmɑː zaɪnən ɛltɜn baɪçtən,Präteritum,1
